Item,Prices
Onion Samosa (4 Pcs),₹36
Sweet Corn Samosa (4 Pcs),₹40
Chicken Biryani Family,₹550
Chicken Biryani Full,₹230
Chicken Biryani Jumbo,₹700
Chicken Biryani Single,₹140
Mutton Biryani Family,₹600
Mutton Biryani Full,₹250
Mutton Biryani Jumbo,₹730
Double Ka Meetha,₹80
Kaddu Ka Kheer,₹80
Broasted Chicken,₹530
Broasted Chicken - Buy 4,₹300
04 Pics Broasted Chicken,₹280
08 Pics Broasted Chicken,₹500
20 Pics Broasted Chicken,₹1190
Chicken Nuggets (6 Pics),₹100
French Fries (large),₹140
French Fries (regular),₹90
Onion Samosa (4 Pcs),₹36
Sweet Corn Samosa (4 Pcs),₹40
Chicken Biryani Family,₹550
Chicken Biryani Full,₹230
Chicken Biryani Jumbo,₹700
Chicken Biryani Single,₹140
Mutton Biryani Family,₹600
Mutton Biryani Full,₹250
Mutton Biryani Jumbo,₹730
Mutton Biryani Single,₹150
Spl. Chicken Biryani,₹310
Spl. Mutton Biryani,₹320
Paneer Biryani,₹220
Prawns Biryani,₹320
Boneless Chicken Biryani,₹320
Fish Biryani,₹320
Mushroom Biryani,₹220
Veg Fried Rice,₹130
Sezwan Veg Fired Rice,₹140
Zeera Fried Rice,₹130
Double Ka Meetha,₹80
Kaddu Ka Kheer,₹80
3 In One Combo,₹435
Broasted Chicken,₹530
Broasted Chicken - Buy 4,₹300
04 Pics Broasted Chicken,₹280
08 Pics Broasted Chicken,₹500
10 Pics Crispy Wings,₹330
20 Pics Broasted Chicken,₹1190
Chicken Nuggets (6 Pics),₹100
French Fries (large),₹140
French Fries (regular),₹90
Mehfil Bakery Combo,₹97
Mehfil,₹170
Smart Water,₹50
Pavbhaji,₹92
Baby Corn Crispy,₹170
Chilli Baby Corn,₹170
Baby Corn Manchuria,₹170
Gobi - 65,₹190
Gobi Manchuria,₹190
Mushroom Manchuria,₹190
Panner - 65,₹190
Panner Chilli Dry,₹190
Panner Majestic,₹190
Panner Manchuria,₹190
Veg Manchuria,₹190
Pepper Chicken,₹250
Chicken Lollypop,₹250
Chicken - 65,₹240
Chicken Drumsticks,₹250
Chicken Majestic,₹250
Chicken Manchuria,₹240
Chilli Chicken,₹240
Ginger Chicken,₹240
Chilli Fish Dry,₹260
Apollo Fish,₹260
Chilli Fish Wet,₹240
Loose Prawns Dry,₹260
Loose Prawns Wet,₹260
Dal Fry,₹140
Dal Tadka,₹140
Malai Kofta,₹190
Mushroom Masala,₹180
Mix Veg Curry,₹180
Alu Gobi Masala,₹180
Kadhai Panner,₹190
Kaju Panner,₹190
Palak Panner,₹180
Panner Butter Masala,₹180
Panner Shahi Korma,₹180
Panner Tikka Masala,₹190
Punjbai Veg Masala,₹180
Chicken Tikka Masala,₹250
Tandoori Chicken Masala,₹250
Egg Curry,₹130
Chicken Curry,₹240
Chicken Masala,₹240
Chicken Nawabi,₹240
Chilli Butter Chicken,₹240
Shahi Chicken,₹240
Methi Chicken,₹240
Chicken Punjabi,₹250
Andhra Chicken,₹250
Afghani Chicken,₹240
Chicken Fry Boneless,₹250
Hyderabadi Chicken,₹240
Kadhai Chicken,₹240
Mutton Fry,₹260
Mutton Masala,₹260
Mutton Shahi Korma,₹260
Andhra Mutton,₹260
Methi Mutton,₹260
Mutton Roghan Josh,₹260
Kadhai Mutton,₹260
Mutton Curry,₹260
Prawns Masala,₹260
Fish Masala,₹260
Andhra Fish Curry,₹260
Andhra Prawns Masala,₹260
Fish Curry,₹260
Kadai Prawns,₹260
Kadhai Fish,₹260
Prawns Curry,₹260
Panner Tikka Kebab,₹200
Hariyali Chicken Kebab,₹150
Fish Tikka,₹170
Prawns Tikka,₹170
Grilled Chicken,₹200
Chicken Tikka,₹150
Murg Malai,₹150
Mutton Sheek Kebab,₹320
Reshmi Chicken Kebab,₹150
Tandoori Chicken,₹220
Tangdi Kebab,₹150
Tandoori Roti,₹20
Rumali Roti,₹20
Plain Naan,₹25
Garlic Naan,₹35
Butter Naan,₹30
Garlic Roti,₹25
Egg Fried Rice,₹140
Chicken Fried Rice,₹160
Mutton Fried Rice,₹170
Mixed Fried Rice,₹180
Prawns Fried Rice,₹170
Mehfil Spl. Fried Rice,₹180
Sezwan Chicken Fried Rice,₹140
Sezwan Egg Fried Rice,₹150
Sezwan Mutton Fried Rice,₹150
Veg Soft Noodles,₹150
Egg Soft Noodles,₹130
Chicken Soft Noodles,₹160
Mixed Soft Noodles,₹180
Mehfil Spi. Noodles,₹180
Mutton Soft Noodles,₹170
Sezwan Chicken Soft Noodles,₹150
Sezwan Egg Soft Nooles,₹120
Sezwan Mixed Soft Noodles,₹180
Sezwan Mutton Soft Noodles,₹150
Sezwan Veg Soft Nooldes,₹150
